6,7,8,9,10,11,12,13,14,15
0.003,0.009,0.025,0.074,0.152,0.487,1.411,4.357,13.224,42.948
0.001,0.008,0.016,0.043,0.155,0.549,1.384,4.443,13.781,42.394
0.001,0.008,0.018,0.05,0.137,0.497,1.408,4.409,14.133,43.618
0.002,0.009,0.022,0.066,0.149,0.431,1.393,4.32,14.301,42.944
0.001,0.004,0.014,0.048,0.153,0.518,1.417,4.75,13.951,44.158
0.002,0.004,0.013,0.044,0.136,0.426,1.428,4.716,14.031,41.381
0.003,0.009,0.023,0.054,0.16,0.458,1.522,4.674,14.236,43.286
0.001,0.004,0.013,0.047,0.138,0.504,1.505,4.617,14.617,46.628
0.002,0.005,0.014,0.042,0.164,0.43,1.425,4.377,13.554,44.76
0.001,0.004,0.014,0.047,0.154,0.497,1.453,4.467,13.375,49.39
0.001,0.004,0.014,0.054,0.166,0.493,1.548,4.612,13.9,50.011
0.001,0.003,0.02,0.056,0.151,0.425,1.408,4.644,17.173,44.865
0.003,0.006,0.013,0.041,0.141,0.479,1.414,4.679,16.424,44.996
0.001,0.004,0.013,0.045,0.208,0.492,1.458,4.762,14.367,46.49
0.002,0.009,0.021,0.062,0.158,0.524,1.592,4.457,14.46,49.828
0.001,0.004,0.02,0.054,0.183,0.557,1.549,4.596,17.14,46.784
0.002,0.007,0.019,0.047,0.137,0.442,1.484,4.773,13.933,49.404
0.003,0.006,0.018,0.047,0.138,0.451,1.332,4.323,13.91,51.16
0.002,0.006,0.016,0.053,0.187,0.688,2.057,9.106,20.618,53.168
0.003,0.007,0.031,0.08,0.273,0.871,2.129,5.32,17.488,52.842
0.002,0.004,0.014,0.049,0.155,0.507,1.539,4.438,15.217,49.551
0.001,0.003,0.012,0.041,0.157,0.429,1.441,4.568,13.676,47.262
0.001,0.004,0.013,0.042,0.144,0.5,1.506,4.587,14.037,54.539
0.001,0.004,0.015,0.055,0.163,0.515,1.735,8.173,17.596,49.519
0.002,0.008,0.019,0.051,0.173,0.509,1.525,6.64,15.324,55.6
0.001,0.003,0.013,0.048,0.181,0.587,1.938,5.065,15.633,51.402
0.001,0.004,0.016,0.053,0.18,0.822,2.908,6.924,14.907,47.015
0.003,0.009,0.024,0.065,0.154,0.537,1.542,4.429,14.698,48.686
0.001,0.009,0.012,0.043,0.136,0.532,1.352,4.455,13.982,47.136
0.002,0.004,0.016,0.05,0.162,0.583,1.52,4.413,16.693,44.327
