6,7,8,9,10,11,12,13,14,15
0.003,0.009,0.026,0.075,0.141,0.427,1.407,4.235,13.227,40.95
0.002,0.004,0.013,0.042,0.152,0.509,1.435,4.248,13.223,40.911
0.002,0.003,0.012,0.042,0.134,0.489,1.419,4.195,13.121,40.897
0.001,0.008,0.017,0.044,0.132,0.489,1.331,4.194,13.093,41.571
0.002,0.009,0.014,0.05,0.135,0.491,1.341,4.609,13.402,42.01
0.002,0.007,0.014,0.042,0.134,0.49,1.326,4.312,13.168,40.884
0.002,0.004,0.012,0.042,0.133,0.495,1.413,4.365,13.222,41.997
0.001,0.003,0.022,0.062,0.148,0.502,1.451,4.647,14.112,42.302
0.002,0.004,0.013,0.044,0.142,0.445,1.457,4.658,13.51,56.294
0.001,0.008,0.013,0.045,0.146,0.567,1.448,4.447,14.325,42.988
0.002,0.006,0.016,0.047,0.134,0.444,1.544,4.593,13.976,44.271
0.001,0.004,0.015,0.046,0.155,0.485,1.619,4.572,13.988,43.403
0.002,0.008,0.013,0.043,0.173,0.438,1.396,4.579,16.846,44.344
0.001,0.003,0.023,0.061,0.151,0.49,1.335,4.329,14.141,43.497
0.002,0.009,0.022,0.051,0.155,0.486,1.579,4.447,14.27,44.095
0.001,0.004,0.017,0.044,0.133,0.458,1.445,4.418,14.06,44.125
0.001,0.004,0.014,0.047,0.152,0.537,1.565,4.502,14.45,44.374
0.002,0.009,0.024,0.059,0.14,0.426,1.347,4.587,14.387,43.382
0.001,0.003,0.017,0.053,0.161,0.461,1.497,4.721,14.034,44.124
0.003,0.006,0.02,0.042,0.131,0.477,1.414,4.719,13.554,44.164
0.002,0.008,0.025,0.088,0.204,0.53,1.414,4.384,14.214,44.005
0.001,0.003,0.013,0.052,0.141,0.472,1.447,4.399,14.106,44.251
0.002,0.007,0.017,0.049,0.15,0.484,1.416,4.267,14.641,42.556
0.001,0.006,0.023,0.054,0.139,0.425,1.343,4.406,13.489,47.396
0.001,0.004,0.014,0.047,0.152,0.488,1.616,4.336,13.675,44.628
0.001,0.008,0.015,0.047,0.15,0.486,1.467,4.688,14.46,48.336
0.001,0.004,0.013,0.042,0.146,0.494,1.499,4.738,16.76,47.922
0.001,0.008,0.013,0.042,0.141,0.484,1.455,4.709,14.341,44.734
0.001,0.007,0.023,0.053,0.18,0.534,1.554,4.57,15.506,48.462
0.001,0.004,0.016,0.053,0.159,0.486,1.547,6.477,14.824,44.789
