250,300,350,400,450,500
0.02,0.023,0,0.029,0.004,0
0.007,0.001,0.041,0,0.013,0.033
0,0.025,0.003,0.014,0,0.009
0.008,0,0,0,0.016,0.002
0,0.018,0,0.024,0.007,0
0,0,0.002,0,0.017,0.005
0,0.025,0.001,0,0.013,0.002
0,0,0.006,0.023,0.027,0.018
0.03,0.008,0.024,0,0.012,0.001
0.023,0.005,0,0.019,0.022,0
0,0.007,0.011,0,0.017,0.03
0,0.026,0.002,0.018,0.001,0.003
0.005,0,0.018,0.008,0.003,0.014
0.01,0.011,0.009,0,0.014,0.019
0.029,0.007,0.006,0.002,0.002,0
0,0.002,0.023,0.01,0.01,0.002
0.003,0.001,0.002,0,0.038,0.006
0,0.015,0.019,0.001,0.001,0
0,0.03,0,0.001,0.026,0
0.013,0.003,0.003,0.018,0.02,0.022
0.002,0,0.023,0.017,0.005,0.025
0.001,0.003,0.014,0.001,0.027,0.004
0.01,0.02,0.003,0,0.008,0.036
0,0.004,0,0,0,0.007
0.008,0.024,0.008,0.021,0.023,0.008
0.012,0,0.022,0,0.025,0.001
0.03,0.008,0.036,0.008,0.024,0.018
0,0.007,0.022,0,0,0.029
0.019,0.027,0,0,0,0.03
0.005,0.02,0,0.003,0,0.007
