6,7,8,9,10,11,12,13,14,15
0,0.003,0.013,0.01,0.06,0.158,0.477,1.544,4.55,14.171
0,0.001,0.004,0.015,0.047,0.148,0.461,1.485,4.599,14.195
0,0.003,0.004,0.014,0.046,0.154,0.453,1.513,4.628,14.684
0,0.001,0.005,0.022,0.046,0.145,0.496,1.564,4.714,14.461
0,0.001,0.007,0.018,0.054,0.16,0.476,1.489,4.546,14.222
0,0.001,0.004,0.016,0.048,0.185,0.501,1.523,4.655,15.493
0,0.002,0.005,0.016,0.051,0.177,0.512,1.613,4.596,13.571
0,0.003,0.009,0.024,0.058,0.151,0.501,1.499,4.736,14.348
0,0,0.008,0.017,0.048,0.169,0.489,1.469,4.801,13.683
0.001,0.003,0.006,0.02,0.053,0.148,0.486,1.491,4.558,13.901
0,0.003,0.006,0.018,0.05,0.149,0.517,1.525,4.712,14.394
0,0,0.007,0.017,0.048,0.159,0.478,1.488,4.723,14.049
0,0.003,0.008,0.025,0.063,0.152,0.475,1.519,4.644,14.434
0,0.001,0.009,0.015,0.047,0.148,0.481,1.505,4.552,14.388
0,0.003,0.006,0.015,0.055,0.146,0.52,1.437,4.429,13.842
0.001,0.003,0.007,0.017,0.045,0.144,0.505,1.516,4.605,14.987
0,0.001,0.008,0.006,0.048,0.153,0.471,1.491,4.649,14.629
0,0.003,0.009,0.029,0.071,0.168,0.521,1.624,4.514,14.264
0,0.001,0.006,0.014,0.046,0.146,0.513,1.615,4.844,14.46
0,0,0.004,0.016,0.047,0.154,0.461,1.585,4.648,14.37
0,0.001,0.004,0.017,0.048,0.156,0.511,1.533,4.946,14.413
0,0.001,0.005,0.016,0.051,0.168,0.558,1.455,4.745,14.824
0,0.001,0.005,0.016,0.052,0.169,0.539,1.621,4.651,14.921
0,0.001,0.005,0.015,0.048,0.172,0.484,1.62,4.872,14.606
0.001,0.003,0.007,0.023,0.05,0.158,0.519,1.4,5.028,14.301
0.001,0.002,0.005,0.014,0.047,0.172,0.579,1.565,4.455,14.238
0.001,0.003,0.006,0.016,0.045,0.153,0.481,1.517,4.649,13.652
0,0.003,0.008,0.017,0.052,0.145,0.451,1.454,4.426,15.035
0.001,0,0.004,0.018,0.048,0.158,0.538,1.528,5.072,17.38
0,0.001,0.005,0.016,0.051,0.175,0.559,1.609,4.81,14.147
